,城市,小区名,地址,住宅类型,均价
116,xz,尚仕名邸,云龙区城正东和平路北（新云龙区政府旁）,住宅,6000
117,xz,巴黎都市,睢宁县外环路与天虹大道交叉口,住宅,3600
118,xz,巴厘豪庭,睢宁县徐淮路288号,别墅,4000
119,xz,新铭基书香苑,邳州市世纪大道格林豪泰向北50米（工商银行隔壁）,住宅 别墅,5000
120,xz,中汇霖雨山庄,金山桥开发区杨山路9号（旺旺家缘西侧）,别墅,7500
121,xz,景润园,新安街道大桥西路82号（八中隔壁）,住宅,4500
122,xz,尚都国际,睢宁县八一路与睢河路交汇处,住宅,12000
123,xz,旺田人家,贾汪区团结路66号,住宅,3300
124,xz,龙商荣域,云龙区解放路和和平路交汇处（沃尔玛以北）,住宅,13000
125,xz,华信聚福园,新安街道市府东路，黄墩河畔,住宅 别墅,4100
126,xz,桂林国际,睢宁县青年路与原104国道交叉口,住宅,3600
127,xz,开元翡翠湾,泉山区三环西路，杏山工业园区,住宅,6500
128,xz,荣盛·盛景国际,泉山区二环西路和建国西路交叉口,住宅 商住,8300
129,xz,耀邦公馆,邳州市建设北路与兴国路交汇处,住宅 别墅,3900
130,xz,馨宁雅居,邳州市南京路立交桥南面路东侧,住宅,3751
131,xz,汉锦城,新安街道南京路59号（世纪广场东面广电局地块）,住宅 商住,10500
132,xz,中茵龙湖国际,新城区大龙湖畔两山口向南,住宅 别墅,4888
133,xz,京杭家园,邳州市邳州世纪大道2号（邳州广播电视台向西200米）,住宅,3800
134,xz,御华府,邳州市青年东路107号（运河高中对面）,住宅,4700
135,xz,城市花苑三期,新安街道新安镇新华路50号,住宅,4700
136,xz,金域华庭,泉山区建国西路（原教育学院地块）,住宅,11500
137,xz,云龙观邸,泉山区徐州市电视塔西侧（原毛纺厂地块）,别墅,13000
138,xz,高铁时代广场,金山桥开发区徐海路开发区管委会西侧,商住,5000
139,xz,星科印象,睢宁县菁华中学东侧、睢宁人民法院西侧,住宅,4600
140,xz,丰县顺河富民商业街,顺河镇顺河镇十字路口东50米路南富民街,住宅,3280
141,xz,和平上东,云龙区区政府东600米 和平路以北,住宅,6800
142,xz,美的城,金山桥开发区金龙湖东岸徐海路南,住宅 别墅,5800
143,xz,金御蓝湖,邳州市长江路南侧,住宅,5900
144,xz,帝王大厦,沛城街道汤沐路中心广场东侧,住宅,5300
145,xz,中凯·龙湖领墅,邳州市沙沟湖水杉公园东门两侧,住宅 别墅,7000
146,xz,瑞凯国际城,睢宁县中央大街与天虹大道交汇处,住宅,4300
147,xz,市府雅苑,新安街道市府东路100号,住宅 别墅,4100
148,xz,碧桂园·南湖湾,贾汪区小南湖湿地公园南侧，G206西侧100米,别墅,5600
149,xz,锦绣豪庭,运河街道办事处世纪大道南侧,住宅,4000
150,xz,兴旺商业街,贾汪区206国道与新华路交汇处（永业嘉苑对面）,商住,5180
151,xz,国信金澜世家,新安街道黄沭路和黄山路交汇处,住宅,4700
152,xz,正阳水岸城邦,沛城街道北外环路1号（粮食储备库）,住宅,4300
153,xz,保利鑫城,金山桥开发区徐海路与汉源大道交叉口宗申集团正门往南300米,住宅,6300
154,xz,金鼎名城,江苏新沂经济开发区城南新沂市新华南路以西，马陵山路99号,住宅,3900
155,xz,绿地湖语墅,铜山区华山路与钱江路交汇处,别墅,10000
156,xz,万恒东一号,新安街道新沂市市府东路北侧，黄沭路东侧,住宅 别墅,4000
157,xz,华茂万和城,沛城街道正阳中路农业银行北侧,住宅,7500
158,xz,紫金雅苑,贾汪区山水大道与桃源路交汇处（第七中学西侧）,住宅,3800
159,xz,欧洲城,睢宁县新城区天虹大道和永安路交界处（新体育中心斜对面）,住宅,4300
160,xz,硕丰雅居,铜山区迎宾大道维维集团向南3公里（棠马路与纺织路交叉口）,住宅 别墅,4200
161,xz,万豪绿城,金山桥开发区杨山路37号（青岛啤酒厂对面）,住宅,5500
162,xz,西盛园,睢宁县104国道与八一路交汇处,住宅,3000
163,xz,中巍·凤凰嗉,顺河镇顺河路凤凰嗉小区东大门南侧,住宅,4000
164,xz,荣丰·学士园,凤城街道南环路北、向阳南路以东，新丰中对面,住宅,3900
165,xz,九鼎国际城,睢宁县人民东路南北两侧,住宅,4160
166,xz,御水帝景城,凤城街道复新河与南环路交汇处-复新河东岸,住宅,3800
167,xz,钟吾壹号,唐店街道钟吾南路202号,住宅,4300
168,xz,盛世茗居,顺河镇新城开发区中阳大道南侧,住宅,4100
169,xz,盛世名门,新安街道新华路与人民路交叉口,住宅,5200
170,xz,雨润城,汉源街道汉城路与韩信路交汇处,住宅,4300
171,xz,宏基天城,新沂市市府路40号(市政府对面财政局),住宅 商住,4400
172,xz,新沂雨润广场,新沂市钟吾路35号,住宅 商住,18000
173,xz,剑桥府邸,沛城街道汤沐东路与红光路交界,住宅,5400
174,xz,玉融瀚景园,新安街道钟吾路2号(火车站与汽车站交汇处),住宅,4300
175,xz,美的时代城,金山桥开发区高新路与彭祖大道交汇处（南200米）,住宅,4500
176,xz,徐州碧桂园,新城区汉源大道与新元大道交汇处,住宅,6500
177,xz,中锐星尚城,凤城街道新城区汉源大道丽水路交汇处（徐州工程学院南门正对面）,住宅,5300
178,xz,风尚米兰,鼓楼区中山北路金鹰北800米,住宅 别墅 商住,8000
179,xz,名仕·金色家园,凤城街道中阳大道与工农路交汇处（烟草局南30米）,住宅,4200
180,xz,海尔·滟澜公馆,泉山区矿山路与二环西路交汇处（原华东机械厂）,住宅,9500
181,xz,财富湾,铜山区北京南路100号,住宅 商住,5500
182,xz,绿地工润·和平壹号,云龙区和平大道与汉源大道交汇处,住宅,7100
183,xz,宏基·阳光尚城,邳州市长江路北侧（新城中学对面）,住宅 别墅,5200
184,xz,阿尔卡迪亚文承苑,邳州市东泰路西侧，迎宾馆东侧,住宅,4000
185,xz,月桥花院,新城区富春路与汉源大道交汇处（工程学院西侧）,住宅,7500
186,xz,云龙华府,云龙区和平大道与庆丰路交汇处（云龙区政府以南）,住宅,7600
187,xz,翠湖御景,泉山区湖北路关庄体育馆对面,住宅,16000
188,xz,久隆澜桥,铜山区11路终点站久隆凤凰城,住宅 别墅,6800
189,xz,金地华府,金山桥开发区徐庄镇政府南侧（腰庄加油站对面）,住宅,2600
190,xz,世茂东都·天城,云龙区郭庄路18号,住宅,7400
191,xz,提香湾,云龙区和平大道新云龙区政府东400米,住宅 别墅 商住,7200
192,xz,恒华·新都汇,睢宁县中央大街与文学北路交汇处,住宅,4100
193,xz,绿地泊林公馆,新城区彭祖大道与太行路交汇处,住宅,6800
194,xz,荣盛城,泉山区三环西路与新淮海路西路交汇处,住宅,6388
195,xz,盈佳·香荷湾,鼓楼区下淀路与广山东路交汇处南200米，香槟城南隔壁,住宅,6000
196,xz,金都华府,鼓楼区二环北路与复兴路交汇处，农工商东侧,住宅 商住,5280
197,xz,港鑫城,铜山区徐州市铜山区北京路12号（原雷奥科技园）,住宅,6500
198,xz,天悦华景,鼓楼区九里山南（气象塔下）平山路东,住宅,6400
199,xz,财富湾,铜山区北京南路100号,住宅 商住,5500
200,xz,玺悦龙城,金山桥开发区龙湖西路29号（博顿君廷酒店对面）,住宅,12000
201,xz,国基逸境,铜山区大学路88号（国基城邦社区南）,住宅 别墅 商住,5880
202,xz,荣盛·香榭兰庭,云龙区和平路以北 庆丰路以西（万达广场正北侧）,住宅,6400
203,xz,美的翰城,新城区昆仑大道与汉源大道交汇处往东100米（青年路小学对面）,住宅,6500
204,xz,米兰国际广场,鼓楼区金鹰北800米（原6414东厂区）,住宅,8500
205,xz,绿城·紫薇公馆,泉山区金山南路东（小南湖东）,住宅 别墅,17500
206,xz,康华·心海湾,贾汪区新夏路南侧,住宅,3500
207,xz,山水龙瑞,鼓楼区天齐南路以西，荆马河路以南,住宅,6000
208,xz,华润·橡树湾,云龙区区政府南角，和平路与学院路交汇处,住宅,7300
209,xz,港鑫城,铜山区徐州市铜山区北京路12号（原雷奥科技园）,住宅,6500
